Product_Name,Product_Price,Product_MRP_Price,Ratings,Review_Count,Screen Resolution,Screen_Size,Brand_Name,Refresh_Rate,Monitor_Category,Model_Number
Acer SA272U E 27 Inch WQHD 2560x1440 Resolution IPS Ultra Slim (7.2mm) Backlight LED LCD Monitor I 100Hz Refresh I 1 MS VRB I HDR 10 I AMD Free Sync I 2xHDMI 1xDP I Stereo Speakers I Eye Care I White,"12,900","M.R.P: ₹16,999₹16,999",4.3 out of 5 stars,54,Display Resolution Maximum 2560 x 1440 Pixels,Screen Size 27 Inches,Brand Acer,"Special Feature Blue Light Filter, 100Hz Refresh Rate, Flicker-Free, WQHD 2560x1440 Resolution, High Dynamic Range",Generic Name Monitor,Item model number UM.HS2SI.E02
"Dell S2421HM 24-Inch/60.4 cm FHD Monitor 1920x1080 Pixels@75Hz, IPS Panel, Speaker, Ultrathin Bezel, 3-Yr Manufacturer Warranty, 99% sRGB, Low BlueLight Technology, HDMI x2, Tilt Adjust, AMD FreeSync",Does not exist,Does not exist,4.3 out of 5 stars,122,Display Resolution Maximum 1920 x 1080,Screen Size 24 Inches,Brand Dell,Refresh Rate 75,Generic Name S2421HM,Item model number S2421HM
"HP M27fwa 27-Inch(68.6cm) Eye Safe Certified 1920 x 1080 Pixels Full HD IPS 3-Sided Micro-Edge LED Monitor, 75Hz, AMD FreeSync with 1xVGA, 2xHDMI 1.4 Ports, 300 nits, in-Built Speakers, Silver","16,350","M.R.P: ₹19,320₹19,320",3.9 out of 5 stars,357,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 27 Inches,Brand HP,Refresh Rate 75,Generic Name Eye Safe Full HD IPS 27-inch Computer Monitor,Item model number HP 27fwa
"ViewSonic 24 Inch Fhd IPS Professional Monitor with USB Type-C One Cable Solution 60W Charge Back,Height Adjustment,Tilt,Pivot,Swivel,3-Side Frameless,Hdmi,Dp,USB-C,102% Srgb,Vdisplay -Vg2455,Black","10,299","M.R.P: ₹28,800₹28,800",4.4 out of 5 stars,341,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 24 Inches,Brand ViewSonic,Refresh Rate 60 Hz,Generic Name Monitor,Item model number VG2455
"Lenovo Gaming G-Series 27 inch (68.58cm) 2K QHD VA Monitor, 2560 x 1440 Pixels 165Hz, 1ms, WLED, AMD Radeon FreeSync Compatible,HDMI, DP, Height Adjust Tilt Stand with Natural Low Blue Light, G27q-30","18,438","M.R.P: ₹30,190₹30,190",4.6 out of 5 stars,17,Display Resolution Maximum 2560x1440,Screen Size 27 Inches,Brand Lenovo,Refresh Rate 165 Hz,Generic Name Monitor,Item model number 66E8GAC2IN
"LG Qhd 2K - 27Qn600, 2560 X 1440 Pixels 27 Inch (68.58 Cm) IPS Display 3 Side Borderless - HDR 10, Srgb 99%, AMD Free Sync - Dual Hdmi, Display Port (Black)","20,399","M.R.P: ₹31,600₹31,600",4.3 out of 5 stars,"2,638",Display Resolution Maximum 2560x1440,Screen Size 27 Inches,Brand LG,Refresh Rate 75,Generic Name Monitor,Item model number 27QN600
"DELL S2421H/Hm (60.96 Cm) Fhd 1920 X 1080 at 75Hz, Built-in Dual Speakers Monitor, IPS Panel, Brightness 250 Cd/M², Contrast 1000:1, Gamut: 99% Srgb, 16.7M Colors, Response Time 4Ms, Grey","10,299","M.R.P: ₹25,099₹25,099",4.5 out of 5 stars,"1,065",Display Resolution Maximum 1920 X 1080 (FHD) Pixels,Screen Size 23.8 Inches,Brand Dell,Refresh Rate 60,Generic Name MONITOR,Item model number S2421H
"LG - 20M39H, 19.5 Inch (49.53 Cm) Hd, 1366 X 768 Pixels Tn Panel LCD Monitor with Hdmi & Vga Port, Wall Mount, 3 Year Warranty (Black)","5,600","M.R.P: ₹9,900₹9,900",4.0 out of 5 stars,"2,819",Display Resolution Maximum 1366x768,Screen Size 19.5 Inches,Brand LG,Refresh Rate 60,Generic Name Monitor,Item model number 20M39H
"Samsung 32-inch(80.1cm) 3840 x 2160 Pixels 4K UHD, Flat Monitor, 1 Billion Colors, PBP, Slim Bezels, AMD FreeSync (LU32J590UQWXXL, Dark Blue Gray)","27,999","M.R.P: ₹52,500₹52,500",4.0 out of 5 stars,391,Display Resolution Maximum 3840 x 2160 (4K UHD),Screen Size 31.5 Inches,Brand Samsung,Refresh Rate 60,Generic Name Monitors,Item model number LU32J590UQWXXL
"Dell Professional 21.5 inches Full HD Monitor, Wall Mountable, Height Adjustable, IPS Panel with HDMI, VGA DP and USB Ports (Resolution - 1920 x 1080 Pixels, Black) - P2222H","11,040","M.R.P: ₹16,999₹16,999",4.3 out of 5 stars,271,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 22,Brand Dell,Refresh Rate 60 Hz,Generic Name monitor,Item model number DELL-P2222H
